Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1973,40,Female,E. nor. central,$20000 - 24999,Very happy,Very happy
1973,41,Female,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1973,42,Female,E. nor. central,$7000 to 7999,Pretty happy,Not applicable
1973,43,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1973,44,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,45,Female,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1973,46,Male,E. nor. central,$7000 to 7999,Pretty happy,Pretty happy
1973,47,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,48,Male,E. nor. central,$8000 to 9999,Very happy,Pretty happy
1973,49,Female,E. sou. central,$4000 to 4999,Not too happy,Not applicable
1973,50,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,51,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,52,Male,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,53,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,54,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1973,55,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1973,56,Female,Middle atlantic,$8000 to 9999,Not too happy,Not applicable
1973,57,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,58,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,59,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1973,60,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1973,61,Male,W. sou. central,$8000 to 9999,Very happy,Very happy
1973,62,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1973,63,Male,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,64,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,65,Female,Middle atlantic,$6000 to 6999,Very happy,Very happy
1973,66,Male,E. nor. central,$3000 to 3999,Very happy,Not applicable
1973,67,Male,E. nor. central,$5000 to 5999,Very happy,Very happy
1973,68,Female,E. nor. central,$7000 to 7999,Very happy,Very happy
1973,69,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,70,Female,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1973,71,Male,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,72,Female,Pacific,$5000 to 5999,Not too happy,Pretty happy
1973,73,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,74,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,75,Male,E. nor. central,$4000 to 4999,Not too happy,Very happy
1973,76,Female,E. nor. central,$3000 to 3999,Very happy,Not applicable
1973,77,Female,E. nor. central,$1000 to 2999,Very happy,Not applicable
1973,78,Male,E. nor. central,$7000 to 7999,Pretty happy,Very happy
1973,79,Female,E. nor. central,$6000 to 6999,Very happy,Very happy
1973,80,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,81,Male,Mountain,Don't know,Pretty happy,Not applicable
1973,82,Female,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1973,83,Female,Mountain,$10000 - 14999,Very happy,Very happy
1973,84,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1973,85,Male,New england,$8000 to 9999,Pretty happy,Pretty happy
1973,86,Male,New england,$6000 to 6999,Not too happy,Not applicable
1973,87,Female,New england,$20000 - 24999,Pretty happy,Pretty happy
1973,88,Female,New england,$3000 to 3999,Not too happy,Not applicable
1973,89,Female,New england,$10000 - 14999,Pretty happy,Very happy
1973,90,Female,W. sou. central,$1000 to 2999,Pretty happy,Very happy
1973,91,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,92,Male,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,93,Female,South atlantic,$15000 - 19999,Pretty happy,Very happy
1973,94,Male,W. sou. central,$15000 - 19999,Very happy,Very happy
1973,95,Female,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1973,96,Male,E. nor. central,$7000 to 7999,Pretty happy,Very happy
1973,97,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,98,Male,E. nor. central,$4000 to 4999,Pretty happy,Pretty happy
1973,99,Female,E. nor. central,$25000 or more,Very happy,Very happy
1973,100,Male,W. nor. central,$8000 to 9999,Very happy,Very happy
1973,101,Female,E. nor. central,$3000 to 3999,Not too happy,Not applicable
1973,102,Female,New england,$1000 to 2999,Very happy,Not applicable
1973,103,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,104,Male,W. sou. central,$8000 to 9999,Pretty happy,Pretty happy
1973,105,Male,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1973,106,Female,South atlantic,$6000 to 6999,Very happy,Not applicable
1973,107,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1973,108,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1973,109,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,110,Female,New england,$20000 - 24999,Pretty happy,Very happy
1973,111,Female,Foreign,$10000 - 14999,Pretty happy,Not too happy
1973,112,Female,New england,Don't know,Pretty happy,Not applicable
1973,113,Male,New england,$10000 - 14999,Pretty happy,Pretty happy
1973,114,Male,New england,$10000 - 14999,Pretty happy,Very happy
1973,115,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,116,Female,South atlantic,$25000 or more,Pretty happy,Pretty happy
1973,117,Male,E. nor. central,$4000 to 4999,Very happy,Very happy
1973,118,Male,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,119,Female,E. nor. central,$7000 to 7999,Pretty happy,Pretty happy
1973,120,Female,South atlantic,$15000 - 19999,Pretty happy,Very happy
1973,121,Male,South atlantic,$20000 - 24999,Very happy,Very happy
1973,122,Male,South atlantic,$6000 to 6999,Not too happy,Pretty happy
1973,123,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,124,Male,South atlantic,$7000 to 7999,Pretty happy,Not applicable
1973,125,Male,New england,$10000 - 14999,Very happy,Very happy
1973,126,Male,New england,$10000 - 14999,Very happy,Very happy
1973,127,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1973,128,Female,New england,$10000 - 14999,Pretty happy,Very happy
1973,129,Female,New england,$15000 - 19999,Very happy,Very happy
1973,130,Male,E. nor. central,$4000 to 4999,Pretty happy,Very happy
1973,131,Male,W. nor. central,$5000 to 5999,Pretty happy,Not applicable
1973,132,Female,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1973,133,Male,Mountain,$6000 to 6999,Not too happy,Very happy
1973,134,Male,Mountain,$1000 to 2999,Pretty happy,Pretty happy
1973,135,Female,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,136,Male,E. nor. central,$1000 to 2999,Pretty happy,Very happy
1973,137,Female,Mountain,$10000 - 14999,Pretty happy,Pretty happy
1973,138,Male,New england,$7000 to 7999,Pretty happy,Pretty happy
1973,139,Male,New england,$10000 - 14999,Pretty happy,Very happy
1973,140,Female,New england,$15000 - 19999,Pretty happy,Pretty happy
1973,141,Female,New england,$20000 - 24999,Pretty happy,Not applicable
1973,142,Female,New england,$15000 - 19999,Very happy,Very happy
1973,143,Male,W. nor. central,$8000 to 9999,Very happy,Very happy
1973,144,Female,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,145,Male,E. nor. central,Lt $1000,Pretty happy,Not applicable
1973,146,Female,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,147,Male,E. nor. central,$15000 - 19999,Not too happy,Very happy
1973,148,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,149,Male,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1973,150,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,151,Male,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,152,Male,W. nor. central,$15000 - 19999,Very happy,Very happy
1973,153,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,154,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,155,Female,E. nor. central,$7000 to 7999,Pretty happy,Pretty happy
1973,156,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,157,Male,Foreign,$3000 to 3999,Not too happy,Not applicable
1973,158,Female,Mountain,$5000 to 5999,Pretty happy,Pretty happy
1973,159,Female,Mountain,$1000 to 2999,Pretty happy,Very happy
1973,160,Female,Mountain,$8000 to 9999,Very happy,Very happy
1973,161,Female,Mountain,$10000 - 14999,Pretty happy,Pretty happy
1973,162,Male,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,163,Male,Mountain,$15000 - 19999,Pretty happy,Very happy
1973,164,Male,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,165,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1973,166,Female,South atlantic,$6000 to 6999,Not too happy,Not applicable
1973,167,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,168,Male,South atlantic,$5000 to 5999,Very happy,Very happy
1973,169,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1973,170,Male,South atlantic,$15000 - 19999,Pretty happy,Not applicable
1973,171,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1973,172,Male,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1973,173,Male,South atlantic,$8000 to 9999,Very happy,Not applicable
1973,174,Female,South atlantic,$4000 to 4999,Pretty happy,Very happy
1973,175,Female,South atlantic,$1000 to 2999,Very happy,Not applicable
1973,176,Male,E. sou. central,$6000 to 6999,Pretty happy,Pretty happy
1973,177,Male,New england,$10000 - 14999,Pretty happy,Not applicable
1973,178,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1973,179,Male,E. sou. central,$8000 to 9999,Not too happy,Pretty happy
1973,180,Female,South atlantic,$1000 to 2999,Not too happy,Pretty happy
1973,181,Male,South atlantic,$1000 to 2999,Pretty happy,Pretty happy
1973,182,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1973,183,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,184,Female,Middle atlantic,$1000 to 2999,Not too happy,Pretty happy
1973,185,Male,Middle atlantic,Refused,Very happy,Very happy
1973,186,Female,Middle atlantic,Don't know,Pretty happy,Very happy
1973,187,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,188,Female,South atlantic,Refused,Very happy,Very happy
1973,189,Female,South atlantic,Don't know,Very happy,Very happy
1973,190,Male,New england,$20000 - 24999,Pretty happy,Very happy
1973,191,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1973,192,Female,New england,$15000 - 19999,Very happy,Very happy
1973,193,Female,New england,$20000 - 24999,Pretty happy,Not applicable
1973,194,Female,Middle atlantic,Refused,Very happy,Very happy
1973,195,Female,New england,$4000 to 4999,Pretty happy,Pretty happy
1973,196,Male,New england,$20000 - 24999,Pretty happy,Very happy
1973,197,Female,New england,$15000 - 19999,Very happy,Very happy
1973,198,Female,New england,$10000 - 14999,Not too happy,Not applicable
1973,199,Male,New england,$5000 to 5999,Very happy,Very happy
1973,200,Female,South atlantic,$4000 to 4999,Very happy,Not applicable
1973,201,Female,E. sou. central,Don't know,Pretty happy,Very happy
1973,202,Female,South atlantic,$3000 to 3999,Very happy,Very happy
1973,203,Male,South atlantic,$8000 to 9999,Very happy,Very happy
1973,204,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,205,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1973,206,Male,South atlantic,$20000 - 24999,Pretty happy,Pretty happy
1973,207,Male,South atlantic,$10000 - 14999,Not too happy,Pretty happy
1973,208,Female,E. sou. central,Don't know,Pretty happy,Very happy
1973,209,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1973,210,Male,E. sou. central,$20000 - 24999,Pretty happy,Not applicable
1973,211,Male,South atlantic,$8000 to 9999,Very happy,Very happy
1973,212,Female,W. sou. central,$25000 or more,Pretty happy,Not applicable
1973,213,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,214,Female,South atlantic,$25000 or more,Very happy,Very happy
1973,215,Male,South atlantic,$3000 to 3999,Pretty happy,Pretty happy
1973,216,Male,South atlantic,$3000 to 3999,Pretty happy,Very happy
1973,217,Female,South atlantic,$3000 to 3999,Very happy,Very happy
1973,218,Female,South atlantic,$4000 to 4999,Very happy,Very happy
1973,219,Male,South atlantic,Lt $1000,Very happy,Very happy
1973,220,Female,South atlantic,$15000 - 19999,Pretty happy,Very happy
1973,221,Male,Middle atlantic,$8000 to 9999,Not too happy,Very happy
1973,222,Male,Middle atlantic,$8000 to 9999,Pretty happy,Pretty happy
1973,223,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,224,Male,South atlantic,$15000 - 19999,Pretty happy,Not applicable
1973,225,Female,South atlantic,$5000 to 5999,Very happy,Very happy
1973,226,Female,South atlantic,$6000 to 6999,Pretty happy,Very happy
1973,227,Male,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,228,Male,W. nor. central,$5000 to 5999,Pretty happy,Pretty happy
1973,229,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1973,230,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,231,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1973,232,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1973,233,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1973,234,Female,South atlantic,$7000 to 7999,Very happy,Pretty happy
1973,235,Male,South atlantic,$1000 to 2999,Pretty happy,Pretty happy
1973,236,Female,W. nor. central,$15000 - 19999,Pretty happy,Very happy
1973,237,Male,Mountain,$5000 to 5999,Pretty happy,Very happy
1973,238,Male,Mountain,$10000 - 14999,Very happy,Very happy
1973,239,Male,South atlantic,$20000 - 24999,Pretty happy,Very happy
1973,240,Male,South atlantic,$10000 - 14999,Very happy,Not applicable
1973,241,Female,South atlantic,Don't know,Very happy,Not applicable
1973,242,Male,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,243,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1973,244,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,245,Female,E. nor. central,Don't know,Pretty happy,Not applicable
1973,246,Male,E. nor. central,$20000 - 24999,Very happy,Very happy
1973,247,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,248,Female,Middle atlantic,$1000 to 2999,Not too happy,Not applicable
1973,249,Female,Middle atlantic,$6000 to 6999,Pretty happy,Very happy
1973,250,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,251,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,252,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,253,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1973,254,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1973,255,Female,South atlantic,$8000 to 9999,Not too happy,Very happy
1973,256,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1973,257,Male,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1973,258,Male,South atlantic,$3000 to 3999,Very happy,Very happy
1973,259,Male,South atlantic,$25000 or more,Very happy,Very happy
1973,260,Female,South atlantic,$10000 - 14999,Not too happy,Very happy
1973,261,Female,Foreign,$10000 - 14999,Very happy,Pretty happy
1973,262,Male,South atlantic,$3000 to 3999,Very happy,Very happy
1973,263,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1973,264,Female,New england,$20000 - 24999,Pretty happy,Very happy
1973,265,Female,New england,$20000 - 24999,Pretty happy,Not applicable
1973,266,Male,New england,$15000 - 19999,Very happy,Very happy
1973,267,Female,New england,$10000 - 14999,Very happy,Very happy
1973,268,Male,New england,$10000 - 14999,Pretty happy,Not applicable
1973,269,Male,Middle atlantic,$10000 - 14999,Very happy,Not applicable
1973,270,Female,Middle atlantic,$8000 to 9999,Very happy,Very happy
1973,271,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,272,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,273,Male,Middle atlantic,$7000 to 7999,Pretty happy,Very happy
1973,274,Female,Mountain,$15000 - 19999,Pretty happy,Very happy
1973,275,Male,South atlantic,$7000 to 7999,Pretty happy,Not applicable
1973,276,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1973,277,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1973,278,Female,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,279,Male,Foreign,$10000 - 14999,Pretty happy,Not applicable
1973,280,Male,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1973,281,Female,Middle atlantic,$5000 to 5999,Pretty happy,Very happy
1973,282,Female,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1973,283,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,284,Female,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1973,285,Female,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1973,286,Male,New england,$1000 to 2999,Pretty happy,Pretty happy
1973,287,Male,E. sou. central,$3000 to 3999,Pretty happy,Pretty happy
1973,288,Female,New england,Lt $1000,Pretty happy,Pretty happy
1973,289,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1973,290,Female,E. sou. central,$7000 to 7999,Very happy,Very happy
1973,291,Female,Middle atlantic,$5000 to 5999,Pretty happy,Very happy
1973,292,Male,Middle atlantic,$10000 - 14999,Not too happy,Pretty happy
1973,293,Female,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1973,294,Male,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1973,295,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1973,296,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,297,Female,E. nor. central,$7000 to 7999,Very happy,Very happy
1973,298,Male,E. nor. central,$20000 - 24999,Not too happy,Not applicable
1973,299,Female,E. nor. central,Lt $1000,Pretty happy,Not applicable
1973,300,Male,E. nor. central,$1000 to 2999,Very happy,Very happy
1973,301,Male,E. nor. central,$3000 to 3999,Not too happy,Very happy
1973,302,Female,E. nor. central,Don't know,Pretty happy,Pretty happy
1973,303,Male,E. nor. central,$7000 to 7999,Very happy,Very happy
1973,304,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,305,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1973,306,Female,Middle atlantic,$8000 to 9999,Pretty happy,Pretty happy
1973,307,Female,Foreign,$8000 to 9999,Very happy,Very happy
1973,308,Female,E. nor. central,$5000 to 5999,Pretty happy,Pretty happy
1973,309,Female,E. nor. central,$3000 to 3999,Very happy,Very happy
1973,310,Female,E. nor. central,$1000 to 2999,Pretty happy,Not applicable
1973,311,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,312,Male,Middle atlantic,$7000 to 7999,Very happy,Very happy
1973,313,Female,Middle atlantic,$3000 to 3999,Very happy,Not applicable
1973,314,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1973,315,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,316,Female,Middle atlantic,$5000 to 5999,Very happy,Very happy
1973,317,Male,New england,$10000 - 14999,Very happy,Not applicable
1973,318,Male,New england,$10000 - 14999,Pretty happy,Very happy
1973,319,Female,New england,$15000 - 19999,Very happy,Very happy
1973,320,Female,New england,$10000 - 14999,Pretty happy,Very happy
1973,321,Female,Middle atlantic,$10000 - 14999,Not too happy,Very happy
1973,322,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,323,Female,South atlantic,$7000 to 7999,Pretty happy,Pretty happy
1973,324,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,325,Male,South atlantic,$3000 to 3999,Pretty happy,Very happy
1973,326,Male,South atlantic,$8000 to 9999,Pretty happy,Not applicable
1973,327,Female,Middle atlantic,Lt $1000,Not too happy,Not applicable
1973,328,Male,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1973,329,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,330,Female,Middle atlantic,$3000 to 3999,Pretty happy,Very happy
1973,331,Female,Middle atlantic,$8000 to 9999,Very happy,Very happy
1973,332,Male,Middle atlantic,$6000 to 6999,Pretty happy,Not applicable
1973,333,Female,Middle atlantic,$5000 to 5999,Very happy,Very happy
1973,334,Male,Pacific,$15000 - 19999,Pretty happy,Not applicable
1973,335,Male,Middle atlantic,$15000 - 19999,Not too happy,Not applicable
1973,336,Male,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1973,337,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,338,Female,Middle atlantic,$4000 to 4999,Very happy,Not applicable
1973,339,Male,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1973,340,Male,Middle atlantic,Refused,Not too happy,Very happy
1973,341,Female,Middle atlantic,$1000 to 2999,Pretty happy,Pretty happy
1973,342,Male,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1973,343,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1973,344,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1973,345,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1973,346,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1973,347,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,348,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1973,349,Male,E. nor. central,$8000 to 9999,Not too happy,Pretty happy
1973,350,Female,E. nor. central,Don't know,Pretty happy,Not applicable
1973,351,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1973,352,Male,E. nor. central,$3000 to 3999,Very happy,Very happy
1973,353,Female,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1973,354,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,355,Male,Middle atlantic,$4000 to 4999,Pretty happy,Pretty happy
1973,356,Female,Middle atlantic,$20000 - 24999,Very happy,Very happy
1973,357,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,358,Male,Middle atlantic,Refused,Very happy,Very happy
1973,359,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1973,360,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,361,Male,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1973,362,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1973,363,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1973,364,Female,South atlantic,$4000 to 4999,Very happy,Very happy
1973,365,Female,South atlantic,$10000 - 14999,Very happy,Pretty happy
1973,366,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1973,367,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,368,Male,South atlantic,$7000 to 7999,Very happy,Very happy
1973,369,Female,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1973,370,Male,Middle atlantic,$7000 to 7999,Very happy,Very happy
1973,371,Female,Middle atlantic,$8000 to 9999,Not too happy,Not applicable
1973,372,Female,Middle atlantic,$1000 to 2999,Not too happy,Not applicable
1973,373,Male,Middle atlantic,Refused,Pretty happy,Pretty happy
1973,374,Female,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1973,375,Male,Middle atlantic,$10000 - 14999,Very happy,Pretty happy
1973,376,Male,Middle atlantic,$4000 to 4999,Very happy,Very happy
1973,377,Female,E. sou. central,$7000 to 7999,Pretty happy,Not applicable
1973,378,Male,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,379,Female,Middle atlantic,$20000 - 24999,Very happy,Very happy
1973,380,Male,Middle atlantic,$7000 to 7999,Pretty happy,Very happy
1973,381,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1973,382,Male,South atlantic,$10000 - 14999,Not too happy,Pretty happy
1973,383,Male,South atlantic,Refused,Very happy,Pretty happy
1973,384,Male,South atlantic,$7000 to 7999,Not too happy,Very happy
1973,385,Female,New england,$15000 - 19999,Very happy,Very happy
1973,386,Female,New england,$8000 to 9999,Very happy,Very happy
1973,387,Male,Foreign,$15000 - 19999,Pretty happy,Very happy
1973,388,Male,New england,$10000 - 14999,Pretty happy,Pretty happy
1973,389,Female,South atlantic,$25000 or more,Very happy,Very happy
1973,390,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,391,Male,South atlantic,$4000 to 4999,Pretty happy,Pretty happy
1973,392,Male,South atlantic,$4000 to 4999,Very happy,Not applicable
1973,393,Female,South atlantic,$7000 to 7999,Very happy,Pretty happy
1973,394,Female,South atlantic,$7000 to 7999,Pretty happy,Very happy
1973,395,Male,South atlantic,Don't know,Very happy,Very happy
1973,396,Female,South atlantic,$3000 to 3999,Not too happy,Very happy
1973,397,Male,South atlantic,$4000 to 4999,Pretty happy,Very happy
