customer_id,contract_type_id,payment_type_id,internet_service_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type,contract_type,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn_month
0082-LDZUE,1,2,1,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,DSL,"Mailed check",Month-to-month,1,Yes,2,44.3,44.3,"2021-12-21 18:07:34",Yes,No,1,No,No,No,No,No,No,NULL
0082-OQIQY,1,1,2,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,94.2,2607.6,"2019-08-21 18:07:34",Yes,No,2,No,No,No,Yes,Yes,Yes,NULL
0083-PIVIK,2,1,1,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,DSL,"Electronic check","One year",2,No,1,81.25,5567.55,"2016-09-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,NULL
0089-IIQKO,1,4,2,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,"Fiber optic","Credit card (automatic)",Month-to-month,1,Yes,4,99.95,3767.4,"2018-10-21 18:07:34",Yes,Yes,2,No,No,No,Yes,Yes,Yes,NULL
0093-EXYQL,1,1,2,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,91.55,3673.6,"2018-09-21 18:07:34",Yes,No,2,No,No,No,No,Yes,Yes,NULL
0093-XWZFY,1,4,2,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,"Fiber optic","Credit card (automatic)",Month-to-month,1,Yes,4,104.5,4036.85,"2018-09-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2022-01-31
0094-OIFMO,1,1,2,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95,1120.3,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,95,1120.3,"2021-02-21 18:07:34",Yes,No,2,No,Yes,No,No,Yes,Yes,2022-01-31
0096-BXERS,1,1,1,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,DSL,"Electronic check",Month-to-month,1,No,1,50.35,314.55,"2021-07-21 18:07:34",Yes,Yes,1,No,No,No,No,No,No,NULL
0096-FCPUF,1,2,1,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,DSL,"Mailed check",Month-to-month,1,Yes,2,64.5,1888.45,"2019-07-21 18:07:34",Yes,Yes,1,Yes,No,No,No,No,Yes,NULL
0098-BOWSO,1,1,3,Male,0,No,No,27,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.4,529.8,No,None,"Electronic check",Month-to-month,1,Yes,1,19.4,529.8,"2019-10-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0100-DUVFC,2,1,2,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,"Fiber optic","Electronic check","One year",2,Yes,1,104.8,7308.95,"2016-03-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,NULL
0103-CSITQ,2,3,2,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,"Fiber optic","Bank transfer (automatic)","One year",2,Yes,3,109.4,6252.7,"2017-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,NULL
0104-PPXDV,2,4,1,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,DSL,"Credit card (automatic)","One year",2,No,4,50.3,2878.55,"2017-03-21 18:07:34",Yes,No,1,No,No,Yes,No,No,No,NULL
0106-GHRQR,1,3,1,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,DSL,"Bank transfer (automatic)",Month-to-month,1,Yes,3,71.4,1212.1,"2020-09-21 18:07:34",Yes,Yes,1,No,Yes,Yes,No,No,Yes,NULL
0106-UGRDO,3,1,2,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116,8182.85,No,"Fiber optic","Electronic check","Two year",3,Yes,1,116,8182.85,"2016-04-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0107-WESLM,1,1,3,Male,0,No,No,1,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.85,19.85,Yes,None,"Electronic check",Month-to-month,1,Yes,1,19.85,19.85,"2021-12-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",2022-01-31
0107-YHINA,1,1,2,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,99.75,99.75,"2021-12-21 18:07:34",Yes,Yes,2,No,No,Yes,No,Yes,Yes,2022-01-31
0111-KLBQG,1,2,2,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,"Fiber optic","Mailed check",Month-to-month,1,Yes,2,93.95,2861.45,"2019-05-21 18:07:34",Yes,No,2,No,Yes,No,No,Yes,Yes,NULL
0112-QAWRZ,1,3,2,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,"Fiber optic","Bank transfer (automatic)",Month-to-month,1,Yes,3,90.8,1442.2,"2020-09-21 18:07:34",Yes,Yes,2,No,No,Yes,No,Yes,No,NULL
0112-QWPNC,2,1,1,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,DSL,"Electronic check","One year",2,No,1,84.35,4059.35,"2017-12-21 18:07:34",Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,2022-01-31
0114-IGABW,3,3,1,Female,0,Yes,No,71,No,"No phone service",No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,DSL,"Bank transfer (automatic)","Two year",3,No,3,58.25,4145.9,"2016-02-21 18:07:34",No,"No phone service",1,No,Yes,Yes,Yes,Yes,Yes,NULL
0114-PEGZZ,1,1,2,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,"Fiber optic","Electronic check",Month-to-month,1,No,1,107.55,3645.5,"2019-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,NULL
0114-RSRRW,1,3,3,Female,0,Yes,No,10,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.95,187.75,No,None,"Bank transfer (automatic)",Month-to-month,1,Yes,3,19.95,187.75,"2021-03-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0115-TFERT,1,1,2,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,111.2,2317.1,"2020-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,2022-01-31
0117-LFRMW,1,3,1,Male,0,Yes,Yes,37,No,"No phone service",Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,DSL,"Bank transfer (automatic)",Month-to-month,1,No,3,40.2,1448.8,"2018-12-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,No,No,No,2022-01-31
0118-JPNOY,1,4,2,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,"Fiber optic","Credit card (automatic)",Month-to-month,1,Yes,4,85.8,2193.65,"2019-11-21 18:07:34",Yes,No,2,Yes,No,No,No,Yes,No,NULL
0121-SNYRK,2,2,1,Male,0,No,No,50,No,"No phone service",Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,DSL,"Mailed check","One year",2,Yes,2,35.4,1748.9,"2017-11-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,No,No,NULL
0122-OAHPZ,1,1,2,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,73.85,511.25,"2021-06-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No,2022-01-31
0123-CRBRT,3,2,1,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,DSL,"Mailed check","Two year",3,No,2,88.1,5526.75,"2016-12-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0125-LZQXK,1,1,2,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,101.35,1553.95,"2020-10-21 18:07:34",Yes,No,2,No,No,Yes,Yes,Yes,Yes,2022-01-31
0128-MKWSG,1,2,1,Female,0,No,Yes,26,No,"No phone service",Yes,No,No,Yes,No,Yes,No,45.8,1147,No,DSL,"Mailed check",Month-to-month,1,No,2,45.8,1147,"2019-11-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,No,Yes,NULL
0129-KPTWJ,1,1,2,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,94.65,6747.35,"2016-01-21 18:07:34",Yes,No,2,No,No,Yes,No,Yes,Yes,NULL
0129-QMPDR,2,3,3,Male,0,Yes,Yes,44,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,20.5,865.05,No,None,"Bank transfer (automatic)","One year",2,Yes,3,20.5,865.05,"2018-05-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0130-SXOUN,1,4,2,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,"Fiber optic","Credit card (automatic)",Month-to-month,1,No,4,89.4,5976.9,"2016-07-21 18:07:34",Yes,Yes,2,No,Yes,No,No,No,Yes,NULL
0133-BMFZO,1,1,2,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,86.25,181.65,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,86.25,181.65,"2021-11-21 18:07:34",Yes,No,2,Yes,Yes,No,Yes,No,No,2022-01-31
0134-XWXCE,2,3,1,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No,DSL,"Bank transfer (automatic)","One year",2,No,3,74.85,3268.05,"2018-05-21 18:07:34",Yes,No,1,No,No,Yes,Yes,Yes,Yes,NULL
0135-NMXAP,1,3,2,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,Yes,89.75,1052.4,Yes,"Fiber optic","Bank transfer (automatic)",Month-to-month,1,Yes,3,89.75,1052.4,"2021-01-21 18:07:34",Yes,Yes,2,No,Yes,No,No,Yes,No,2022-01-31
0136-IFMYD,3,1,2,Male,1,Yes,No,69,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.95,7634.25,No,"Fiber optic","Electronic check","Two year",3,Yes,1,109.95,7634.25,"2016-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,NULL
0137-OCGAB,1,2,2,Female,0,No,No,1,Yes,Yes,No,Yes,No,No,No,No,Yes,80.2,80.2,Yes,"Fiber optic","Mailed check",Month-to-month,1,Yes,2,80.2,80.2,"2021-12-21 18:07:34",Yes,Yes,2,No,Yes,No,No,No,No,2022-01-31
0137-UDEUO,1,2,3,Female,0,No,No,3,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,19.85,63.75,Yes,None,"Mailed check",Month-to-month,1,No,2,19.85,63.75,"2021-10-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",2022-01-31
